Ambient_CO2,400,ppm
Fraction_AboveGround_Carbon,0.65,definition of this?
Specific_leaf_area,0.033, m2/gr
Leaf_Blade_Angle,45,
Activation_Energy_JMAX,48041.88,J/mol
VCMAX,80,umol CO2 m-2 s-1
JMAX,160,umol CO2 m-2 s-1
Photosynthetic_Light_Response_Factor,0.7,what reference is this from?
Base_temperature,10,base temperature for phenological development (deg C)
Single_plant_ground_area,0.16,m2; can be computed using inverse planting density
