,DOY,Hour,Incoming_PAR_Wm2,temperature,VPD,wind_speed,precipitation,time
83,126,4,0.038294118,21.5,1.508748058,0.85,0,126.1666667
84,126,5,0.193544853,21.62,1.53495197,0.85,0,126.2083333
85,126,6,12.08338971,21.655,1.15531491,0.85,0,126.25
86,126,7,19.20130882,21.62,1.224032634,0.85,0,126.2916667
87,126,8,35.95019853,21.26,1.539330516,0.85,0,126.3333333
88,126,9,97.42661765,21.155,1.653427379,0.85,0,126.375
89,126,10,139.2629412,21.47,2.071161146,0.85,0,126.4166667
90,126,11,191.4705882,22.085,2.194996655,0.85,0,126.4583333
91,126,12,191.4705882,22.565,2.072000683,0.85,0,126.5
92,126,13,191.4705882,21.2,1.728151525,0.85,0,126.5416667
93,126,14,190.9440441,20.43,1.573337985,0.85,0,126.5833333
94,126,15,122.8842279,21.025,1.640261844,0.85,0,126.625
95,126,16,147.6078676,20.785,1.599708661,0.85,0,126.6666667
96,126,17,82.66742647,19.15,1.255457138,0.85,5,126.7083333
97,126,18,45.19025,19.32,1.123663837,0.85,0,126.75
98,126,19,28.15894118,19.845,1.24647746,0.85,0,126.7916667
99,126,20,16.20000735,19.915,1.214683013,0.85,0,126.8333333
100,126,21,6.852891912,19.87,1.230669334,0.85,0,126.875
101,126,22,6.297308088,20.215,1.267341355,0.85,0,126.9166667
102,126,23,6.080786765,20.63,1.326555659,0.85,0,126.9583333
103,127,0,7.250672059,20.815,1.35610871,0.85,0,127
104,127,1,5.337402206,20.95,1.359140767,0.85,0,127.0416667
105,127,2,2.331952206,21.02,1.367095345,0.85,0,127.0833333
106,127,3,1.522829412,21.07,1.350426451,0.85,0,127.125
107,127,4,1.204669118,21.05,1.361275327,0.85,0,127.1666667
108,127,5,0.950332353,21.135,1.372599083,0.85,0,127.2083333
109,127,6,12.06743382,21.225,1.386540781,0.85,0,127.25
110,127,7,25.54217647,21.3,1.147089368,0.85,0,127.2916667
111,127,8,55.79931618,21.37,1.133127907,0.85,0,127.3333333
112,127,9,90.58154412,21.28,1.597978142,0.85,0,127.375
113,127,10,139.6777941,21.38,1.931868604,0.85,0,127.4166667
114,127,11,153.3838971,20.89,1.965451557,0.85,0,127.4583333
115,127,12,191.4705882,20.59,1.770141087,0.85,0,127.5
116,127,13,191.4705882,19.49,1.529558212,0.85,0,127.5416667
117,127,14,188.3911029,18.92,1.468498792,0.85,0,127.5833333
118,127,15,120.2435294,18.265,1.500720787,0.85,0,127.625
119,127,16,66.53602941,18.88,1.300399753,0.85,0,127.6666667
120,127,17,59.56330882,19.805,1.367258414,0.85,5,127.7083333
121,127,18,49.56535294,19.065,1.139708594,0.85,0,127.75
122,127,19,20.01984559,19.79,0.528144956,0.85,0,127.7916667
123,127,20,9.934132353,19.73,0.760318542,0.85,0,127.8333333
124,127,21,0.016275,19.83,1.081016904,0.85,0,127.875
125,127,22,0.016275,20.35,1.24791083,0.85,0,127.9166667
126,127,23,0.018030147,20.66,1.255731489,0.85,0,127.9583333
127,128,0,0.0244125,20.8,1.291221712,0.85,0,128
128,128,1,0.029358824,20.815,1.308849669,0.85,0,128.0416667
129,128,2,0.026805882,20.88,1.342981972,0.85,0,128.0833333
130,128,3,0.036060294,20.925,1.350846344,0.85,0,128.125
131,128,4,0.03255,20.995,1.358756008,0.85,0,128.1666667
132,128,5,0.061749265,21.08,1.393026398,0.85,0,128.2083333
133,128,6,12.12168382,21.12,1.417394733,0.85,0,128.25
134,128,7,29.94759559,21.125,1.315269801,0.85,0,128.2916667
135,128,8,53.74419853,21.2,1.283472825,0.85,0,128.3333333
136,128,9,74.82351471,21.125,1.64824621,0.85,0,128.375
137,128,10,133.9336765,21.175,1.928634511,0.85,0,128.4166667
138,128,11,191.4705882,20.83,1.873852935,0.85,0,128.4583333
139,128,12,191.4705882,21.03,1.894520464,0.85,0,128.5
140,128,13,191.4705882,20.445,1.742641669,0.85,0,128.5416667
141,128,14,169.3238235,19.93,1.563949034,0.85,0,128.5833333
142,128,15,142.2307353,19.795,1.697023732,0.85,0,128.625
143,128,16,89.01786765,19.345,1.376725144,0.85,0,128.6666667
144,128,17,68.49860294,19.23,1.488938714,0.85,5,128.7083333
