DOY,carbon_pool_g,LAI,assimilation_sunlit,L_3_demand,L_3_allocation,L_4_demand,L_4_allocation,L_5_demand,L_5_allocation,L_6_demand,L_6_allocation,L_7_demand,L_7_allocation
122,0.05001565589961378,0.0929857142857143,20.708861922985857,,0.0,,0.0,,0.0,,0.0,,0.0
122,0.05029547129916256,0.09327938335661921,20.220170697746575,4.468877165944409e-06,4.468877165944409e-06,,0.0,,0.0,,0.0,,0.0
122,0.050521285867026054,0.09358613264111537,16.341822269470008,4.667923894506866e-06,4.667923894506866e-06,,0.0,,0.0,,0.0,,0.0
122,0.05065214913991845,0.09389892774493296,9.584527108724455,4.7599254928761096e-06,4.7599254928761096e-06,,0.0,,0.0,,0.0,,0.0
122,0.0507060807710755,0.09421597151012137,4.138484678074749,4.824579035475951e-06,4.824579035475951e-06,,0.0,,0.0,,0.0,,0.0
122,0.05075491660196523,0.0945439457197799,3.778520460221367,4.990911886108038e-06,4.990911886108038e-06,,0.0,,0.0,,0.0,,0.0
122,0.05080150694142374,0.09488442322249685,3.621640947776131,5.18117938917105e-06,5.18117938917105e-06,,0.0,,0.0,,0.0,,0.0
123,0.050857808351166746,0.09523379529637149,4.2949733261944445,5.316531558961946e-06,5.316531558961946e-06,,0.0,,0.0,,0.0,,0.0
123,0.05089784505467336,0.09559141991583055,3.158393799616269,5.442113774376682e-06,5.442113774376682e-06,,0.0,,0.0,,0.0,,0.0
123,0.05091230367296292,0.09595633003031882,1.3845577424875193,5.5529800030826675e-06,5.5529800030826675e-06,,0.0,,0.0,,0.0,,0.0
123,0.050919732008397015,0.09632831691260216,0.90215513540986,5.660669947789748e-06,5.660669947789748e-06,,0.0,,0.0,,0.0,,0.0
123,0.05092439731080412,0.0967062103765936,0.7151368662495615,5.750552712913236e-06,5.750552712913236e-06,,0.0,,0.0,,0.0,,0.0
123,0.0509267609804265,0.09709210048977986,0.5632555258199197,5.872240852834447e-06,5.872240852834447e-06,,0.0,,0.0,,0.0,,0.0
123,0.051023579247885524,0.0974862694359025,7.003692792334026,5.9982230931704e-06,5.9982230931704e-06,,0.0,,0.0,,0.0,,0.0
123,0.05122468534753167,0.09788861502595204,14.059010805700922,6.122650283363048e-06,6.122650283363048e-06,,0.0,,0.0,,0.0,,0.0
123,0.05151728200293102,0.09829922075443416,20.19119503810643,6.248348042118971e-06,6.248348042118971e-06,,0.0,,0.0,,0.0,,0.0
123,0.05184248799472631,0.09871499727476445,22.306166063545998,6.327034005026372e-06,6.327034005026372e-06,,0.0,,0.0,,0.0,,0.0
123,0.05219006224261708,0.09913991679155305,23.72017623717636,6.466166559826517e-06,6.466166559826517e-06,,0.0,,0.0,,0.0,,0.0
123,0.05254023928577472,0.09956171788522385,23.788980386387323,6.418712294990287e-06,6.418712294990287e-06,,0.0,,0.0,,0.0,,0.0
123,0.052879566113253076,0.09998408301171921,22.968000809082564,6.427295403190317e-06,6.427295403190317e-06,,0.0,,0.0,,0.0,,0.0
123,0.05320326869580939,0.10038931627230302,21.820217542907738,6.1665930958404985e-06,6.1665930958404985e-06,,0.0,,0.0,,0.0,,0.0
123,0.053522672386025656,0.10078815390135511,21.44251013660292,6.069268268184031e-06,6.069268268184031e-06,,0.0,,0.0,,0.0,,0.0
123,0.053841742615297665,0.10117819857906116,21.32699588368677,5.935462486830922e-06,5.935462486830922e-06,,0.0,,0.0,,0.0,,0.0
123,0.054153997619978446,0.10158791554596791,20.818854620148468,6.234823409450688e-06,6.234823409450688e-06,,0.0,,0.0,,0.0,,0.0
123,0.05447379730976799,0.1020251919774334,21.25338042918805,6.654206565779174e-06,6.654206565779174e-06,,0.0,,0.0,,0.0,,0.0
123,0.05477964040575365,0.10245188098216217,20.247112494680046,6.493093550220285e-06,6.493093550220285e-06,,0.0,,0.0,,0.0,,0.0
123,0.054941150083605166,0.10290231778913982,10.86870740223325,6.854473149660098e-06,6.854473149660098e-06,,0.0,,0.0,,0.0,,0.0
123,0.055022492050547725,0.10335833110949309,5.67403188585849,6.9393331358107116e-06,6.9393331358107116e-06,,0.0,,0.0,,0.0,,0.0
123,0.055015559846197735,0.10382390226906568,0.009763009750953502,7.084778515235019e-06,7.084778515235019e-06,,0.0,,0.0,,0.0,,0.0
123,0.055008319322860516,0.10430976980370776,0.009753558552926459,7.393636396727254e-06,7.393636396727254e-06,,0.0,,0.0,,0.0,,0.0
123,0.055000855832226574,0.10481131686305149,0.010699410819402913,7.632237859578573e-06,7.632237859578573e-06,,0.0,,0.0,,0.0,,0.0
124,0.054993273510557904,0.10532464719551543,0.01446457086041638,7.811548537494668e-06,7.811548537494668e-06,,0.0,,0.0,,0.0,,0.0
124,0.054985605326683715,0.10584677716025447,0.017411026826057163,7.945455985159165e-06,7.945455985159165e-06,,0.0,,0.0,,0.0,,0.0
124,0.05497775801063411,0.1063791906933376,0.01591030359169123,8.101945068656456e-06,8.101945068656456e-06,,0.0,,0.0,,0.0,,0.0
124,0.05496984843138901,0.1069215609248279,0.021379594035120204,8.253460044417534e-06,8.253460044417534e-06,,0.0,,0.0,,0.0,,0.0
124,0.054961741391986396,0.1074747717756788,0.019261176997063013,8.418425991209221e-06,8.418425991209221e-06,,0.0,,0.0,,0.0,,0.0
124,0.05495374189163462,0.10803947576810152,0.03654243038199561,8.593321623824175e-06,8.593321623824175e-06,,0.0,,0.0,,0.0,,0.0
124,0.05505986011805269,0.10861464734409236,7.031946007667226,8.75261093899089e-06,8.75261093899089e-06,,0.0,,0.0,,0.0,,0.0
124,0.05532404252250091,0.10919947179187629,16.628487152669752,8.899502466277327e-06,8.899502466277327e-06,,0.0,,0.0,,0.0,,0.0
124,0.05566030113430374,0.10979616477765045,20.915726259025522,9.080110653085049e-06,9.080110653085049e-06,,0.0,,0.0,,0.0,,0.0
124,0.056024963629814906,0.11040049106172074,22.520011377234102,9.196269540199854e-06,9.196269540199854e-06,,0.0,,0.0,,0.0,,0.0
124,0.05641096061253138,0.11101629667034088,23.68528696948959,9.370954913784735e-06,9.370954913784735e-06,,0.0,,0.0,,0.0,,0.0
124,0.05679467095623267,0.11163158443152793,23.41720988837083,9.363074626759626e-06,9.363074626759626e-06,,0.0,,0.0,,0.0,,0.0
124,0.05718219949604689,0.11226312692935972,23.529008362940722,9.610429314831807e-06,9.610429314831807e-06,,0.0,,0.0,,0.0,,0.0
124,0.05756033036876588,0.1128862898694762,22.835487640867917,9.4829143061202e-06,9.4829143061202e-06,,0.0,,0.0,,0.0,,0.0
124,0.05792723467009912,0.11350260374274507,22.045583403650937,9.378689375830508e-06,9.378689375830508e-06,,0.0,,0.0,,0.0,,0.0
124,0.058304287456030085,0.11412396124437543,22.521697765788005,9.455440242201254e-06,9.455440242201254e-06,,0.0,,0.0,,0.0,,0.0
124,0.058660920401870625,0.11473974796497702,21.21078511394469,9.370667487415477e-06,9.370667487415477e-06,,0.0,,0.0,,0.0,,0.0
124,0.05902626823185807,0.11536079928660067,21.603906545772738,9.450780981229534e-06,9.450780981229534e-06,,0.0,,0.0,,0.0,,0.0
124,0.059361376162590226,0.11598034400793317,19.752600901253363,9.427854455059902e-06,9.427854455059902e-06,,0.0,,0.0,,0.0,,0.0
124,0.05962889437816152,0.11664315540520502,15.830341379169022,1.0086260393267102e-05,1.0086260393267102e-05,,0.0,,0.0,,0.0,,0.0
124,0.0597299492077206,0.11730331486237544,6.299497077181805,1.0045904783028159e-05,1.0045904783028159e-05,,0.0,,0.0,,0.0,,0.0
124,0.0597199205126266,0.11797768459999534,0.013162474573518374,1.0262148181172405e-05,1.0262148181172405e-05,,0.0,,0.0,,0.0,,0.0
124,0.05970949046991277,0.11867976274015235,0.014225353598957512,1.068379778499797e-05,1.068379778499797e-05,,0.0,,0.0,,0.0,,0.0
124,0.05969859191924821,0.11941179175248187,0.013431573589826318,1.1139571926753435e-05,1.1139571926753435e-05,,0.0,,0.0,,0.0,,0.0
125,0.0596824142480022,0.12048844274214005,0.011417748186415057,1.1507962242624358e-05,1.1507962242624358e-05,4.8758571652174915e-06,4.8758571652174915e-06,,0.0,,0.0,,0.0
125,0.05966586233104563,0.12159384513719192,0.01478900090258196,1.181223084477667e-05,1.181223084477667e-05,5.009109949491022e-06,5.009109949491022e-06,,0.0,,0.0,,0.0
125,0.05964893860918153,0.12272576090904279,0.016376585997217932,1.2092350555592234e-05,1.2092350555592234e-05,5.132454668225396e-06,5.132454668225396e-06,,0.0,,0.0,,0.0
125,0.059631735476309934,0.12387980061352345,0.019311181519691495,1.2325366716969235e-05,1.2325366716969235e-05,5.236107046866687e-06,5.236107046866687e-06,,0.0,,0.0,,0.0
125,0.0596140769393905,0.1250644454399737,0.019682575703670515,1.2648729527885457e-05,1.2648729527885457e-05,5.3784743528791e-06,5.3784743528791e-06,,0.0,,0.0,,0.0
125,0.059597606455986045,0.12627181402751472,0.10061039565597218,1.2887699282005745e-05,1.2887699282005745e-05,5.485300963183779e-06,5.485300963183779e-06,,0.0,,0.0,,0.0
125,0.05970626227017347,0.1275017629525087,6.671403640830615,1.3124927486227618e-05,1.3124927486227618e-05,5.591686589768069e-06,5.591686589768069e-06,,0.0,,0.0,,0.0
125,0.059892123995044864,0.1287511041456754,10.627171175355537,1.3327936448972534e-05,1.3327936448972534e-05,5.683777360086163e-06,5.683777360086163e-06,,0.0,,0.0,,0.0
125,0.06024599191494705,0.13002652569691917,19.174670343406778,1.3602074020863658e-05,1.3602074020863658e-05,5.806514802410857e-06,5.806514802410857e-06,,0.0,,0.0,,0.0
125,0.060673764538349106,0.13132891766953173,22.766601648590118,1.3885442853380157e-05,1.3885442853380157e-05,5.933565425506366e-06,5.933565425506366e-06,,0.0,,0.0,,0.0
125,0.06114462507575492,0.13265635327083058,24.72993490062961,1.4148007683827686e-05,1.4148007683827686e-05,6.0520992924592244e-06,6.0520992924592244e-06,,0.0,,0.0,,0.0
125,0.06159932146382943,0.13398259509683835,23.67568240107947,1.4130807411523066e-05,1.4130807411523066e-05,6.051133419030217e-06,6.051133419030217e-06,,0.0,,0.0,,0.0
125,0.062055828869445044,0.13534806075497327,23.560186781313302,1.4544048882797514e-05,1.4544048882797514e-05,6.234776349690101e-06,6.234776349690101e-06,,0.0,,0.0,,0.0
125,0.06249713373072678,0.13666873745843472,22.54632445958293,1.4062467452695906e-05,1.4062467452695906e-05,6.034786730413258e-06,6.034786730413258e-06,,0.0,,0.0,,0.0
125,0.06294129117487107,0.1379748357660591,22.4557598815101,1.3902864589988265e-05,1.3902864589988265e-05,5.972544439078106e-06,5.972544439078106e-06,,0.0,,0.0,,0.0
125,0.06338474259078683,0.13927323895008192,22.203732780972025,1.3816639751784234e-05,1.3816639751784234e-05,5.941669570302406e-06,5.941669570302406e-06,,0.0,,0.0,,0.0
125,0.06382948477122055,0.1405800372545474,22.064095937672235,1.3901628592587354e-05,1.3901628592587354e-05,5.984432562322001e-06,5.984432562322001e-06,,0.0,,0.0,,0.0
125,0.06427757728948381,0.14188049298947195,22.012073284452843,1.3829825898054674e-05,1.3829825898054674e-05,5.959717894275704e-06,5.959717894275704e-06,,0.0,,0.0,,0.0
125,0.06471349131334382,0.14322719839819043,21.27542115692106,1.431711492800894e-05,1.431711492800894e-05,6.176228248141906e-06,6.176228248141906e-06,,0.0,,0.0,,0.0
125,0.0650088923723767,0.14464236457578247,14.635061561646143,1.5039934364603378e-05,1.5039934364603378e-05,6.495203120492862e-06,6.495203120492862e-06,,0.0,,0.0,,0.0
